title,description,due_date,category
Buy groceries,Milk eggs and bread,2026-06-25,Shopping
Finish project report,Complete Q2 summary for manager,2026-06-28,Work
Call dentist,Schedule annual checkup,2026-07-01,Health
Morning jog,Run 5km in the park,,Health
Read a book,Finish chapter 5 of Atomic Habits,2026-06-30,Personal
Fix kitchen sink,Replace the leaking faucet,2026-07-05,Personal
Team meeting,Discuss sprint goals,2026-06-23,Work
Pay electricity bill,,2026-06-24,Urgent
Organize desk,Clean and declutter workspace,,Other
Submit tax documents,Deadline approaching,2026-06-27,Urgent
